ntwk,state,site_name,site_no,start,lat,lon,elev,county,huc
SNTL,CO,RIPPLE CREEK,717,1985-October,40.11,-107.29,10340,Rio Blanco,Snell Creek-North Fork White River (140500050102)
SNTL,CO,ROACH,718,1979-October,40.88,-106.05,9700,Larimer,Laramie River-Stuck Creek (101800100106)
SNTL,CO,ROUGH AND TUMBLE,939,1998-August,39.03,-106.08,10360,Park,Headwaters South Fork South Platte River (101900010202)
SNTL,CO,SAINT ELMO,1100,2007-August,38.7,-106.37,10540,Chaffee,Headwaters Chalk Creek (110200010501)
SNTL,CO,SARGENTS MESA,1128,2008-October,38.29,-106.37,11530,Saguache,Middle Creek (130100040306)
SNTL,CO,SAWTOOTH,1251,2014-September,40.14,-105.59,9620,Boulder,Middle Saint Vrain Creek (101900050102)
SNTL,CO,SCHOFIELD PASS,737,1984-October,39.02,-107.05,10700,Gunnison,South Fork Crystal River (140100040701)
SNTL,CO,SCOTCH CREEK,739,1985-October,37.65,-108.01,9100,Dolores,Scotch Creek-Dolores River (140300020204)
SNTL,CO,SHARKSTOOTH,1060,2004-October,37.5,-108.11,10720,Montezuma,Bear Creek (140300020206)
SNTL,CO,SLUMGULLION,762,1979-October,37.99,-107.2,11560,Hinsdale,Headwaters Cebolla Creek (140200020502)
SNTL,CO,SOUTH COLONY,773,1990-October,37.97,-105.54,10800,Custer,Colony Creek-Grape Creek (110200011206)
SNTL,CO,SPUD MOUNTAIN,780,1985-October,37.7,-107.78,10660,San Juan,Lime Creek (140801040202)
SNTL,CO,STILLWATER CREEK,793,1985-October,40.23,-105.92,8720,Grand,Stillwater Creek (140100010306)
SNTL,CO,STUMP LAKES,797,1985-October,37.48,-107.63,11200,San Juan,Virginia Gulch-Florida River (140801040702)
SNTL,CO,SUMMIT RANCH,802,1979-October,39.72,-106.16,9400,Summit,Rock Creek-Blue River (140100020502)
SNTL,CO,TOWER,825,1978-October,40.54,-106.68,10500,Routt,Fish Creek (140500010407)
SNTL,CO,TRAPPER LAKE,827,1985-October,40,-107.24,9700,Garfield,Headwaters North Fork White River (140500050101)
SNTL,CO,TRINCHERA,829,1988-October,37.35,-105.23,10860,Costilla,North Fork Trinchera Creek (130100020601)
SNTL,CO,UNIVERSITY CAMP,838,1978-October,40.03,-105.58,10300,Boulder,North Boulder Creek (101900050401)
SNTL,CO,UPPER RIO GRANDE,839,1985-October,37.72,-107.26,9400,Hinsdale,Rio Grande Reservoir (130100010106)
SNTL,CO,UPPER SAN JUAN,840,1978-October,37.49,-106.84,10200,Mineral,Wolf Creek (140801010203)
SNTL,CO,UPPER TAYLOR,1141,2009-August,38.99,-106.75,10640,Gunnison,Upper Taylor River (140200010101)
SNTL,CO,UTE CREEK,1005,2000-August,37.61,-105.37,10650,Costilla,East Fork Ute Creek (130100020604)
SNTL,CO,VAIL MOUNTAIN,842,1978-October,39.62,-106.38,10300,Eagle,Middle Gore Creek (140100030102)
SNTL,CO,VALLECITO,843,1985-October,37.49,-107.51,10880,La Plata,Indian Creek-Los Pinos River (140801011105)
SNTL,CO,WAGER GULCH,1188,2011-July,37.88,-107.36,11100,Hinsdale,Lake Sanc Cristobal-Lake Fork (140200020602)
SNTL,CO,WEMINUCHE CREEK,1160,2010-October,37.52,-107.32,10740,Archuleta,Sand Creek (140801020203)
SNTL,CO,WHISKEY CK,857,1979-October,37.21,-105.12,10220,Las Animas,North Fork Purgatoire River (110200100102)
SNTL,CO,WILD BASIN,1042,2002-December,40.2,-105.6,9560,Boulder,Headwaters North Saint Vrain Creek (101900050202)
SNTL,CO,WILLOW CREEK PASS,869,1978-October,40.35,-106.09,9540,Grand,Upper Willow Creek (140100010102)
SNTL,CO,WILLOW PARK,870,1979-October,40.43,-105.73,10700,Larimer,Fall River (101900060204)
SNTL,CO,WOLF CREEK SUMMIT,874,1985-October,37.48,-106.8,11000,Mineral,Wolf Creek (140801010203)
SNTL,CO,ZIRKEL,1033,2002-August,40.79,-106.6,9340,Jackson,Middle North Fork North Platte River (101800010202)
SNTL,NM,BATEMAN,316,1978-October,36.51,-106.32,9300,Rio Arriba,Montoya Canyon-Canjilon Creek (130201020901)
SNTL,NM,CHAMITA,394,1978-October,36.96,-106.66,8400,Rio Arriba,Rio Chamita (130201020204)
SNTL,NM,ELK CABIN,921,1996-October,35.7,-105.81,8210,Santa Fe,Headwaters Santa Fe River (130202010102)
SNTL,NM,FRISCO DIVIDE,486,1971-October,33.74,-108.95,8000,Catron,Stone Creek-San Francisco River (150400040303)
SNTL,NM,GALLEGOS PEAK,491,1979-October,36.19,-105.56,9800,Taos,Headwaters Rio Grande de Rancho (130201010502)
SNTL,NM,GARITA PEAK,1173,2016-September,36.01,-106.55,10160,Rio Arriba,Headwaters San Antonio Creek (130202020201)
SNTL,NM,HOPEWELL,532,1978-October,36.72,-106.26,10000,Rio Arriba,Jarosa Creek-Rio Vallecitos (130201021401)
SNTL,NM,LOOKOUT MOUNTAIN,595,1978-October,33.36,-107.83,8500,Sierra,Taylor Creek (150400010402)
SNTL,NM,MCKNIGHT CABIN,1048,2003-September,33.01,-107.87,9240,Grant,Sheppard Canyon-Mimbres River (130302020103)
SNTL,NM,NAVAJO WHISKEY CK,1138,2009-May,36.18,-108.95,9050,San Juan,Whiskey Creek (Local Drainage (140802040206)
SNTL,NM,NORTH COSTILLA,665,1978-October,36.99,-105.26,10600,Taos,Casias Creek-Costillo Creek (130201010101)
SNTL,NM,PALO,1170,2010-August,36.41,-105.33,9350,Taos,Headwaters Rio Fernando del Taos (130201010601)
SNTL,NM,QUEMAZON,708,1979-October,35.92,-106.39,9500,Los Alamos,Los Alamos Canyon (130201011303)
SNTL,NM,RED RIVER PASS #2,715,1978-October,36.7,-105.34,9850,Colfax,Upper Red River (130201010301)
SNTL,NM,RICE PARK,933,1998-August,35.23,-108.27,8460,Cibola,Sawyer Creek (130202070203)
SNTL,NM,RIO SANTA BARBARA,1254,2013-September,36.07,-105.63,10664,Taos,Outlet Rio Santa Barbara (130201010905)
SNTL,NM,SAN ANTONIO SINK,1172,2011-July,36.86,-106.23,9100,Rio Arriba,Canada Tio Grande-Rio San Antonio (130100050301)
SNTL,NM,SANTA FE,922,1996-October,35.77,-105.78,11445,Santa Fe,Headwaters Santa Fe River (130202010102)
SNTL,NM,SENORITA DIVIDE #2,744,1979-October,36,-106.83,8600,Rio Arriba,Headwaters Rio de Las Vacas (130202020102)
SNTL,NM,SHUREE,1169,2010-August,36.79,-105.24,10100,Colfax,Comanche Creek (130201010102)
SNTL,NM,SIERRA BLANCA,1034,2002-September,33.4,-105.79,10280,Lincoln,Upper Rio Ruidoso (130600080103)
SNTL,NM,SIGNAL PEAK,755,1978-October,32.92,-108.15,8360,Grant,Lake Roberts-Sapillo Creek (150400010803)
SNTL,NM,SILVER CREEK DIVIDE,757,1978-October,33.37,-108.71,9000,Catron,Mineral Creek (150400040605)
SNTL,NM,TAOS POWDERHORN,1168,2010-August,36.58,-105.46,11057,Taos,Headwaters Arroyo Hondo (130201010701)
SNTL,NM,TOLBY,934,1998-August,36.47,-105.19,10180,Colfax,Ute Creek-Cimarron River (110800020107)
SNTL,NM,TRES RITOS,1083,2006-September,36.13,-105.53,8600,Taos,Osha Canyon-Rio Pueblo (130201010903)
SNTL,NM,VACAS LOCAS,1017,2001-October,36.03,-106.81,9306,Rio Arriba,Headwaters Rio de Las Vacas (130202020102)
SNTL,NM,WESNER SPRINGS,854,1988-October,35.78,-105.54,11120,San Miguel,Porvenir Canyon-Gallinas Creek (130600010802)
SNTL,UT,AGUA CANYON,907,1994-October,37.52,-112.27,8900,Kane,East Fork Sevier River Headwaters (160300020301)
SNTL,UT,BEAR RIVER RS,992,2010-October,40.89,-110.83,8777,Summit,Cottonwood Creek-Mill Creek (160101010106)
SNTL,UT,BEAVER DAMS,329,1980-June,39.14,-111.56,7990,Sanpete,Headwaters Twelvemile Creek (160300040402)
SNTL,UT,BEAVER DIVIDE,330,1978-October,40.61,-111.1,8280,Summit,Shingle Creek-Provo River (160202030105)
SNTL,UT,BEN LOMOND PEAK,332,1978-October,41.38,-111.94,7689,Weber,Cutler Creek-North Fork Ogden River (160201020302)
SNTL,UT,BEN LOMOND TRAIL,333,1980-June,41.38,-111.92,5972,Weber,Cutler Creek-North Fork Ogden River (160201020302)
SNTL,UT,BEVANS CABIN,1214,2012-October,40.46,-112.25,6520,Tooele,Settlement Canyon (160203040401)
SNTL,UT,BIG FLAT,339,1978-October,38.3,-112.36,10349,Beaver,Three Creeks (160300070202)
SNTL,UT,BLACK FLAT-U.M. CK,348,1980-June,38.68,-111.6,9414,Sevier,U M Creek (140700030101)
SNTL,UT,BLACKS FORK JCT,1162,2010-October,40.96,-110.58,8869,Summit,Lower Cottonwood Creek (140401070303)
SNTL,UT,BOBS HOLLOW,1278,2016-October,38.95,-112.15,9319,Millard,North Fork Chalk Creek (160300051401)
SNTL,UT,BOX CREEK,364,1979-August,38.51,-112.02,9853,Sevier,Greenwich Creek (160300020106)
SNTL,UT,BOX SPRINGS,1156,2010-October,38.5,-112.01,9228,Piute,Box Creek (160300020107)
SNTL,UT,BRIAN HEAD,1154,2011-October,37.68,-112.86,10039,Iron,Dry Lakes Creek (160300060201)
SNTL,UT,BRIGHTON,366,1986-September,40.6,-111.58,8766,Salt Lake,Headwaters Big Cottonwood Canyon (160202040201)
SNTL,UT,BROWN DUCK,368,1978-October,40.58,-110.59,10574,Duchesne,Brown Duck Creek-Lake Fork River (140600030604)
SNTL,UT,BUCK FLAT,371,1978-October,39.13,-111.44,9409,Sanpete,Ferron Reservoir-Ferron Creek (140600090302)
SNTL,UT,BUCK PASTURE,1192,2011-November,40.84,-110.66,9632,Summit,Upper Cottonwood Creek (140401070301)
SNTL,UT,BUCKBOARD FLAT,1153,2012-October,37.87,-109.45,8924,San Juan,North Creek-Montezuma Creek (140802030103)
SNTL,UT,BUG LAKE,374,1978-October,41.69,-111.42,7987,Rich,Laketown Canyon (160102010102)
SNTL,UT,BURTS MILLER RANCH,1135,2009-October,40.98,-110.85,8000,Summit,West Fork Bear River (160101010105)
SNTL,UT,CAMP JACKSON,383,1985-October,37.81,-109.49,8858,San Juan,Johnson Creek (140802010301)
SNTL,UT,CASCADE MOUNTAIN,1039,2002-October,40.28,-111.61,7774,Utah,Rock Canyon-Provo RIver (160202030505)
SNTL,UT,CASTLE VALLEY,390,1980-June,37.66,-112.74,9607,Iron,Upper Mammoth Creek (160300010201)
SNTL,UT,CHALK CREEK #1,392,1978-October,40.85,-111.05,9171,Summit,East Fork Chalk Creek (160201010301)
SNTL,UT,CHALK CREEK #2,393,1978-October,40.89,-111.07,8208,Summit,East Fork Chalk Creek (160201010301)
SNTL,UT,CHEPETA,396,1980-July,40.77,-110.01,10499,Duchesne,East Fork Whiterocks River (140600031202)
SNTL,UT,CLAYTON SPRINGS,983,2000-October,37.97,-111.83,10049,Garfield,Coyote Hollow-Antimony Creek (160300020501)
SNTL,UT,CLEAR CREEK #1,399,1978-January,39.87,-111.28,8975,Utah,Upper Soldier Creek (160202020102)
SNTL,UT,CLEAR CREEK #2,400,1978-October,39.89,-111.25,7837,Utah,Upper Soldier Creek (160202020102)
SNTL,UT,CORRAL,1236,2013-October,39.66,-110.38,8207,Carbon,Grassy Trail Reservoir-Grassy Trail Creek (140600070903)
SNTL,UT,CURRANT CREEK,432,1978-October,40.36,-111.09,7915,Wasatch,Current Creek Reservoir (140600040401)
SNTL,UT,DANIELS-STRAWBERRY,435,1978-October,40.3,-111.26,8008,Wasatch,Willow Creek-Strawberry River (140600040101)
SNTL,UT,DILLS CAMP,444,1978-October,39.05,-111.47,9228,Sanpete,Beaver Creek (140700020201)
SNTL,UT,DONKEY RESERVOIR,452,1985-October,38.21,-111.47,9799,Wayne,Donkey Creek-Fremont River (140700030305)
SNTL,UT,DRY BREAD POND,455,1978-October,41.41,-111.54,8302,Cache,Headwaters East Fork Little Bear River Canyon (160102030101)
SNTL,UT,DRY FORK,906,1994-October,40.57,-112.17,7093,Salt Lake,Bingham Creek (160202040106)
SNTL,UT,EAST WILLOW CREEK,461,1986-August,39.31,-109.53,8302,Grand,Tenmmile Canyon (140600060205)
SNTL,UT,EF BLACKS FORK GS,1163,2010-October,40.88,-110.54,9360,Summit,Sage Creek (140401070302)
SNTL,UT,FARMINGTON,474,1978-October,40.97,-111.81,7902,Davis,Farmington Creek-Frontal Farmington Bay (160201020502)
SNTL,UT,FARMINGTON LOWER,1054,2003-November,40.99,-111.82,6779,Davis,Farmington Creek-Frontal Farmington Bay (160201020502)
SNTL,UT,FARNSWORTH LAKE,475,1980-July,38.77,-111.68,9623,Sevier,Gooseberry Creek (160300030405)
SNTL,UT,FISH LAKE UTAH,1149,2010-October,38.5,-111.77,8798,Sevier,Deadman Hollow (140700030108)
SNTL,UT,FIVE POINTS LAKE,481,1980-August,40.72,-110.47,10943,Duchesne,Garfield Creek (140600030701)
SNTL,UT,GARDEN CITY SUMMIT,1114,2009-October,41.92,-111.47,7705,Cache,Garden City Canyon-Frontal Bear River (160102010106)
SNTL,UT,GARDNER PEAK,1066,2004-October,37.4,-113.46,8322,Washington,Grass Valley Creek (150100080701)
SNTL,UT,GBRC HQ,1221,2012-October,39.32,-111.49,8801,Sanpete,Ephraim Creek (160300040307)
SNTL,UT,GBRC MEADOWS,1222,2012-October,39.3,-111.45,9858,Sanpete,Ephraim Creek (160300040307)
SNTL,UT,GEORGE CREEK,1151,2010-October,41.92,-113.41,8964,Box Elder,George Creek (170402100401)
SNTL,UT,GOOSEBERRY RS,495,1979-June,38.8,-111.68,7944,Sevier,Gooseberry Creek (160300030405)
SNTL,UT,GOOSEBERRY RS UP,1184,2011-October,38.79,-111.69,8396,Sevier,Gooseberry Creek (160300030405)
SNTL,UT,GUTZ PEAK,1065,2004-October,37.5,-113.94,6763,Washington,Pine Park Canyon (150100100101)
SNTL,UT,HARDSCRABBLE,896,1993-October,40.87,-111.72,7250,Morgan,Hardscrabble Creek (160201020105)
SNTL,UT,HARRIS FLAT,514,1979-August,37.49,-112.58,7792,Kane,Swains Creek (160300010104)
SNTL,UT,HAYDEN FORK,517,1978-October,40.8,-110.88,9130,Summit,Hayden Fork (160101010101)
SNTL,UT,HEWINTA,521,1985-September,40.95,-110.48,9500,Summit,West Fork Smiths Fork (140401070203)
SNTL,UT,HICKERSON PARK,522,1985-September,40.91,-109.96,9122,Daggett,Horseshoe Canyon-Green River (140401060501)
SNTL,UT,HOBBLE CREEK,1223,2012-October,40.19,-111.36,7377,Utah,Upper Diamond Fork (160202020304)
SNTL,UT,HOLE-IN-ROCK,528,1985-September,40.92,-110.19,9168,Summit,Lower Upper Marsh Creek (140401060205)
SNTL,UT,HORSE RIDGE,533,1978-October,41.31,-111.45,8199,Morgan,Blue Fork Creek (160201010601)
SNTL,UT,HUNTINGTON HORSE,1216,2012-October,39.62,-111.31,9652,Sanpete,Gooseberry Creek (140600070201)
SNTL,UT,INDIAN CANYON,543,1978-October,39.89,-110.75,9171,Duchesne,Left Fork Indian Canyon (140600040701)
SNTL,UT,JONES CORRAL,1099,2007-October,38.07,-112.17,9749,Garfield,East Fork Sevier River Outlet (160300020507)
SNTL,UT,KILFOIL CREEK,1145,2010-October,41.25,-111.41,7220,Morgan,Upper Lost Creek (160201010603)
SNTL,UT,KIMBERLY MINE,557,1980-July,38.48,-112.39,9101,Piute,Mill Creek (160300030104)
SNTL,UT,KINGS CABIN,559,1978-October,40.72,-109.54,8728,Uintah,Middle Little Brush Creek (140600100303)
SNTL,UT,KLONDIKE NARROWS,1115,2009-October,41.97,-111.6,7250,Cache,Hells Kitchen Canyon-Logan River (160102030302)
SNTL,UT,KOLOB,561,1978-October,37.53,-113.05,9263,Iron,Crystal Creek (150100080102)
SNTL,UT,LAKEFORK #1,566,1978-October,40.6,-110.43,10128,Duchesne,Crystal Creek-Yellowstone River (140600030705)
SNTL,UT,LAKEFORK #3,1116,2009-October,40.55,-110.35,8464,Duchesne,Crystal Creek-Yellowstone River (140600030705)
SNTL,UT,LAKEFORK BASIN,513,1982-October,40.74,-110.62,10885,Duchesne,Ottoson Creek-Lake Fork Creek (140600030601)
SNTL,UT,LASAL MOUNTAIN,572,1980-August,38.48,-109.27,9578,Grand,Horse Creek-Mill Creek (140300050404)
SNTL,UT,LASAL MOUNTAIN-LOWER,1215,2012-October,38.48,-109.29,8783,San Juan,Horse Creek-Mill Creek (140300050404)
SNTL,UT,LIGHTNING RIDGE,1056,2004-October,41.36,-111.49,8215,Weber,Left Fork South Fork Ogden River (160201020201)
SNTL,UT,LILY LAKE,579,1980-June,40.86,-110.8,9133,Summit,Willow Creek-Bear River (160101010103)
SNTL,UT,LITTLE BEAR,582,1978-October,41.41,-111.83,6548,Cache,South Fork Little Bear River (160102030103)
SNTL,UT,LITTLE GRASSY,583,1985-October,37.49,-113.85,6065,Washington,Little Pine Creek (160300061302)
SNTL,UT,LONESOME BEAVER,1261,2014-October,38.07,-110.77,9410,Garfield,Headwaters North Wash (140700010301)
SNTL,UT,LONG FLAT,592,1979-September,37.51,-113.4,7982,Washington,Pinto Creek (160300061403)
SNTL,UT,LONG VALLEY JCT,593,1986-June,37.49,-112.51,7465,Kane,Headwaters East Fork Virgin River (150100080201)
SNTL,UT,LOOKOUT PEAK,596,1988-June,40.84,-111.71,8161,Salt Lake,Parleys Creek (160202040302)
SNTL,UT,LOST CREEK RESV,1118,2010-October,41.22,-111.36,6082,Morgan,Upper Lost Creek (160201010603)
SNTL,UT,LOUIS MEADOW,972,1999-October,40.83,-111.76,6700,Salt Lake,City Creek (160202040304)
SNTL,UT,MAMMOTH-COTTONWOOD,612,1978-October,39.68,-111.32,8709,Sanpete,Cottonwood Canyon-San Pitch River (160300040203)
SNTL,UT,MERCHANT VALLEY,621,1980-July,38.3,-112.44,8705,Beaver,Merchant Creek (160300070201)
SNTL,UT,MIDWAY VALLEY,626,1980-July,37.57,-112.84,9827,Iron,Midway Valley-Midway Creek (160300010101)
SNTL,UT,MILL-D NORTH,628,1988-October,40.66,-111.64,8963,Salt Lake,Headwaters Big Cottonwood Canyon (160202040201)
SNTL,UT,MINING FORK,631,1988-September,40.49,-112.61,8295,Tooele,South Willow Creek-Frontal Great Salt Lake (160203040503)
SNTL,UT,MONTE CRISTO,634,1978-October,41.47,-111.5,8932,Cache,Sheep Creek (160102030201)
SNTL,UT,MOSBY MTN.,643,1978-October,40.61,-109.89,9553,Uintah,Mosby Sink-Dry Fork (140600100702)
SNTL,UT,MT BALDY,1224,2012-October,39.14,-111.51,9524,Sanpete,Headwaters Twelvemile Creek (160300040402)
SNTL,UT,MT PENNELL,1269,2015-October,37.98,-110.79,9209,Garfield,State Creek (140700010502)
SNTL,UT,OAK CREEK,1146,2010-October,39.35,-112.33,7850,Millard,Oak Creek Sinks (160300051505)
SNTL,UT,PANGUITCH LAKE RS,1148,2014-October,37.7,-112.65,8350,Garfield,Ipson Creek (160300010402)
SNTL,UT,PARLEYS SUMMIT,684,1978-October,40.76,-111.63,7585,Summit,Big Dutch Hollow-East Canyon Creek (160201020103)
SNTL,UT,PARLEYS UPPER,856,2019-August,40.7,-111.61,8353,Salt Lake,Parleys Creek (160202040302)
SNTL,UT,PARRISH CREEK,971,1999-October,40.93,-111.81,7740,Davis,Holbrook Creek-Frontal Farmington Bay (160201020501)
SNTL,UT,PAYSON R.S.,686,1980-June,39.93,-111.63,8044,Utah,Peteetneet Creek (160202020601)
SNTL,UT,PICKLE KEG,691,1978-October,39.01,-111.58,9020,Sevier,Skumpah Creek-Salina Creek (160300030402)
SNTL,UT,PINE CREEK,694,1985-February,38.88,-112.25,8734,Millard,Pine Creek (160300051307)
SNTL,UT,RED PINE RIDGE,714,1978-October,39.45,-111.27,8988,Emery,Lowry Water (140600090202)
SNTL,UT,REDDEN MINE LWR,1225,2012-October,40.68,-111.22,8532,Summit,Thorn Creek-Beaver Creek (160201010103)
SNTL,UT,REES FLAT,1217,2012-October,39.5,-111.73,7206,Juab,Quaking Aspen Creek-Chicken Creek (160300050202)
SNTL,UT,ROCK CREEK,720,1980-June,40.55,-110.69,7886,Duchesne,South Fork Rock Creek (140600030304)
SNTL,UT,ROCKY BASIN-SETTLEME,723,1980-June,40.44,-112.22,8704,Tooele,Settlement Canyon (160203040401)
SNTL,UT,SANTAQUIN MEADOWS,1280,2016-October,39.92,-111.72,7835,Utah,Summit Creek (160202010301)
