ntwk,state,site_name,site_no,start,lat,lon,elev,county,huc
SNTL,WY,DOME LAKE,451,1978-October,44.57,-107.3,8880,Sheridan,Lower North Tongue River (100901010102)
SNTL,WY,EAST RIM DIVIDE,460,1984-October,43.13,-110.2,7930,Sublette,Nowlin Creek (170401030203)
SNTL,WY,ELKHART PARK G.S.,468,1963-October,43.01,-109.76,9400,Sublette,Lake Creek (140401020103)
SNTL,WY,EVENING STAR,472,1979-October,44.65,-109.78,9200,Park,Table Creek-Clarks Fork Yellowstone River (100700060301)
SNTL,WY,GRAND TARGHEE,1082,2006-August,43.78,-110.93,9260,Teton,Spring Creek (170402040202)
SNTL,WY,GRANITE CREEK,497,1987-October,43.34,-110.43,6770,Teton,Muddy Creek (170401030304)
SNTL,WY,GRASSY LAKE,499,1962-September,44.13,-110.83,7265,Teton,Mountain Ash Creek (170402030202)
SNTL,WY,GRAVE SPRINGS,501,1991-October,43.47,-107.24,8550,Natrona,Upper Buffalo Creek (100902010103)
SNTL,WY,GROS VENTRE SUMMIT,506,1976-April,43.39,-110.13,8750,Teton,Cottonwood Creek (170401020203)
SNTL,WY,GUNSIGHT PASS,944,1998-September,43.38,-109.88,9820,Sublette,Middle South Fork Fish Creek (170401020102)
SNTL,WY,HAMS FORK,509,1984-October,42.15,-110.68,7840,Lincoln,West Beaver Creek-Hams Fork (140401070504)
SNTL,WY,HANSEN SAWMILL,512,1979-October,44.26,-106.98,8360,Johnson,Upper South Clear Creek (100902060101)
SNTL,WY,HOBBS PARK,525,1978-October,42.87,-109.09,10100,Fremont,Lower Middle Popo Agie River (100800030207)
SNTL,WY,INDIAN CREEK,544,1979-October,42.3,-110.68,9425,Lincoln,Middle Dry Muddy Creek (140401070502)
SNTL,WY,KELLEY R.S.,554,1963-October,42.27,-110.8,8180,Lincoln,Upper Dry Muddy Creek (140401070501)
SNTL,WY,KENDALL R.S.,555,1984-October,43.25,-110.02,7740,Sublette,Miner Creek-North Beaver Creek (140401010302)
SNTL,WY,KIRWIN,560,1979-October,43.86,-109.32,9550,Park,Bonne Creek-Greybull River (100800090101)
SNTL,WY,LAPRELE CREEK,571,1978-October,42.44,-105.86,8375,Converse,Upper Sage Creek (101800071201)
SNTL,WY,LARSEN CREEK,1134,2010-August,42.58,-109.09,9000,Sublette,Pool Creek-Sweetwater River (101800060101)
SNTL,WY,LEWIS LAKE DIVIDE,577,1963-September,44.21,-110.67,7850,Teton,Basin Creek-Snake River (170401010104)
SNTL,WY,LITTLE GOOSE,1131,2010-August,44.54,-107.18,8870,Johnson,Sheep Creek-Tongue River (100901010105)
SNTL,WY,LITTLE SNAKE RIVER,1047,2004-July,41.07,-106.94,8915,Carbon,Little Snake River-Tennessee Creek (140500030103)
SNTL,WY,LITTLE WARM,585,1978-October,43.5,-109.75,9370,Fremont,Little Warm Spring Creek-Wind River (100800010212)
SNTL,WY,LOOMIS PARK,597,1979-October,43.17,-110.14,8240,Sublette,Tosi Creek (140401010201)
